"Financial Year","Return Type","Name","Received From","Date","Value"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","31/12/2018","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","05/02/2019","26419"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","05/03/2019","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","02/04/2019","28306"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","07/05/2019","29250"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for Conference held in Carson Centre","04/06/2019","155327"
"2018-19","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOR, ICE, and Aged Care Training Initiatives","04/06/2019","28306"
"2018-19","Associated Entity Return","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","Department of Health and Human Services","","165000"
"2018-19","Political Campaigner Return","Business Council of Australia","Dept of Prime Minister & Cabinet (ANZLF Indigenous Business Sector)","29/03/2019","55000"
"2018-19","Political Campaigner Return","Business Council of Australia","DFAT - Australia's Policy Support to ANZLF","06/03/2019","75000"
"2018-19","Political Party Return","Country Liberal Party (NT)","Aust Electoral Funding","06/05/2019","10080"
"2018-19","Political Party Return","Liberal Party of Australia","Department of Finance","02/07/2018","1082840"
"2018-19","Political Party Return","Liberal Party of Australia","Department of Finance","23/07/2018","74999"
"2018-19","Political Party Return","Liberal Party of Australia","Department of Finance","10/01/2019","89880"
"2018-19","Associated Entity Return","Media Entertainment & Arts Alliance","Department of Local Government, Sport and Culture Industries, WA","04/12/2018","16500"
"2018-19","Associated Entity Return","Media Entertainment & Arts Alliance","Department of Planning and Environment NSW","25/01/2019","16500"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","04/03/2019","1300"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","18/07/2018","5500"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","22/11/2018","8600"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","15/08/2018","750"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry & Resouces (NT)","13/05/2018","600"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Natural Resources, Mines & Energy (QLD)","18/04/2019","5500"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department Foreign Affairs & Trade","19/06/2019","3970"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department Foreign Affairs & Trade","30/07/2018","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department Foreign Affairs & Trade","27/02/2019","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Office of the Chief Minister (NT)","03/06/2019","5500"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Office of the Chief Minister (NT)","09/08/2019","240"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Economic Development, Jobs, Transport and Resources (VIC)","09/07/2018","19800"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","13/02/2019","1490"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","13/02/2019","1490"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","13/02/2019","750"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","13/02/2019","1490"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","13/02/2019","895"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","22/10/2018","1890"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","23/10/2018","945"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Innovation and Science","19/02/2019","3800"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation (NT)","08/02/2019","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation (NT)","07/05/2019","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation (NT)","07/05/2019","80"
"2018-19","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation (NT)","16/11/2019","430"
"2018-19","Political Campaigner Return","New South Wales Nurses and Midwives' Association","NSW Ministry of Health (for Bob Fenwick Memorial Grants Program - Mental Health)","10/01/2019","95838"
"2018-19","Associated Entity Return","The Chifley Research Centre Ltd","Department of Finance","21/03/2019","255939"
"2018-19","Associated Entity Return","The Menzies Research Centre Limited","Department of Finance","18/03/2019","255939"
"2018-19","Associated Entity Return","The Menzies Research Centre Limited","Department of Finance","27/03/2019","5861"
"2018-19","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","06/09/2018","68750"
"2018-19","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","20/12/2018","68750"
"2018-19","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","08/03/2019","68750"
"2018-19","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","12/06/2019","68750"
"2018-19","Associated Entity Return","The Page Research Centre Ltd","Department of Finance","16/03/2019","126500"
